Key,Publication Year,Title,Rights,Archive,Archive Location,citationKey,Number
S8NBI4WD,2021.0,Self-adaptive synchronous rectifier control algorithm of phase-shifted full bridge current double rectifier converter,Zhejiang Univ.,"Vin=280-400V, Vo=14V, fs=100kHz","Power=1.5kW, Eff_pk=0.93, Eff_avg = 0.913",ding_self-adaptive_2021,44.0
W5I2SP4V,2024.0,Multiport converter based auxiliary power supply for heavy duty fuel cell power train,ORNL,,,mukherjee_multiport_2024,45.0
V4B9BFMH,2021.0,An effective integration of APM and OBC with simultaneous operation and entire ZVS range for electric vehicle,Seoul Tech,,,yu_effective_2021,46.0
WALCI7AK,2023.0,Two-transformer phase-shift full-bridge converter with a new rectifier for reducing conduction loss,Inha Univ.,"Vin=300-400V, Vo=12V, fs=100kHz","Power=0.4kW, Eff_pk=0.937, Eff_avg = 0.91",jeong_two-transformer_2023,47.0
3LTFIZNH,2023.0,Zero-voltage-switching high-step-down buck converter with continuous output current,IUT,,,montazerolghaem_zero-voltage-switching_2023,48.0
S93ZWP5S,2012.0,Efficiency-optimized high-current dual active bridge converter for automotive applications,,,,krismer_efficiency-optimized_2012,49.0
WGEPS8VF,2014.0,Efficiency optimized single-stage reconfigurable DC/DC converter for hybrid and electric vehicles,Industry Infineon,"Vin=180-420V, Vo=10.6-16V, fs=100kHz","Power=1.05kW, Eff_pk=0.9",zeljkovic_efficiency_2014,50.0
VI57WME3,2020.0,Unidirectional three phase dual active bridge DC-DC converter used in electrical vehicles,,,,aouiti_unidirectional_2020,51.0
WXGLWHQ9,2008.0,A three-phase bidirectional DC-DC converter for automotive applications,ORNL,"Vin=250-400V, Vo=42V, fs=40kHz","Power=6kW, Eff_pk=0.959,  Eff_avg=0.948, Eff_low=0.95(1.5kW)",su_three-phase_2008,52.0
MMLQNX9V,2019.0,Design and operation of a fail-operational 5kW 800V-12V DC-DC converter,,,,bertino_design_2019,53.0
N9IIH8DE,,BCMs transform high-voltage batteries into SELV systems,,,,noauthor_bcms_nodate,54.0
CVMCAMHB,2010.0,for the degree of doctor of sciences,,,,krismer_for_2010,55.0
Z4L5ABDF,,ETH zurich power electronic systems laboratory physikstrasse 3 | ETL I12 8092 zurich | switzerland,,,,zhang_eth_nodate,56.0
UMSK6GHW,2016.0,High-frequency DC-DC converter in electric vehicle based on GaN transistors,,,,pang_high-frequency_2016,57.0
8U6NIID5,2015.0,Interleaved boost-integrated LLC resonant converter with fixed-frequency PWM control for renewable energy generation applications,,,,sun_interleaved_2015,58.0
NEAW83WH,2012.0,High frequency bus converter with low loss integrated matrix transformer,,,,reusch_high_2012,59.0
GZ83EA2X,2023.0,Variable Turns-Ratio Matrix Transformer based LLC Converter for Two-Stage Electric Vehicle Auxiliary Power Module Applications,,,,hou_variable_2023,60.0
BS7QXB32,2017.0,Dual-Bridge LLC Resonant Converter With Fixed-Frequency PWM Control for Wide Input Applications,,,,sun_dual-bridge_2017-1,61.0
JHPXTSUZ,2022.0,Implementation of an Auxiliary Low-Voltage DC Power Supply from an Electric Traction Open-Ended Motor Drive Configuration,,,,foti_implementation_2022,62.0
5LRWRN5C,2024.0,Interleaved PCB Winding Planar Transformer for Electric Vehicle Charging CLLC Converters,,,,wouters_interleaved_2024,63.0
4Y7UEVDT,2012.0,Design of a Highly efficient bidirectional isolated LLC resonant converter,ETH,"Vin=450V, Vo=17-56V, fs=140kHz","Power=1.65kW, Eff_pk=0.976, Eff_avg = 0.96",hillers_design_2012,64.0
XPFQFC7Y,,Vitesco Technologies - High Voltage DC/DC Converter - 4th Generation,Industry Vitesco Technologies,"Vin=245-450V, Vo=8-16V","Power=3.6kW, PD=1.5kW/L",noauthor_vitesco_nodate,65.0
