"Key","Publication Year","Title","Rights","Archive","Archive Location"
"3LTFIZNH","2023","Zero-voltage-switching high-step-down buck converter with continuous output current","IUT","",""
"S93ZWP5S","2012","Efficiency-optimized high-current dual active bridge converter for automotive applications","","",""
"WGEPS8VF","2014","Efficiency optimized single-stage reconfigurable DC/DC converter for hybrid and electric vehicles","Industry Infineon","Vin=180-420V, Vo=10.6-16V, fs=100kHz","Power=1.05kW, Eff_pk=0.9"
"VI57WME3","2020","Unidirectional three phase dual active bridge DC-DC converter used in electrical vehicles","","",""
"WXGLWHQ9","2008","A three-phase bidirectional DC-DC converter for automotive applications","ORNL","Vin=250-400V, Vo=42V, fs=40kHz","Power=6kW, Eff_pk=0.959,  Eff_avg=0.948, Eff_low=0.95(1.5kW)"
"MMLQNX9V","2019","Design and operation of a fail-operational 5kW 800V-12V DC-DC converter","","",""
"N9IIH8DE","","BCMs transform high-voltage batteries into SELV systems","","",""
"CVMCAMHB","2010","for the degree of doctor of sciences","","",""
"Z4L5ABDF","","ETH zurich power electronic systems laboratory physikstrasse 3 | ETL I12 8092 zurich | switzerland","","",""
"UMSK6GHW","2016","High-frequency DC-DC converter in electric vehicle based on GaN transistors","","",""
"8U6NIID5","2015","Interleaved boost-integrated LLC resonant converter with fixed-frequency PWM control for renewable energy generation applications","","",""
"NEAW83WH","2012","High frequency bus converter with low loss integrated matrix transformer","","",""
"GZ83EA2X","2023","Variable Turns-Ratio Matrix Transformer based LLC Converter for Two-Stage Electric Vehicle Auxiliary Power Module Applications","","",""
"BS7QXB32","2017","Dual-Bridge LLC Resonant Converter With Fixed-Frequency PWM Control for Wide Input Applications","","",""
"JHPXTSUZ","2022","Implementation of an Auxiliary Low-Voltage DC Power Supply from an Electric Traction Open-Ended Motor Drive Configuration","","",""
"5LRWRN5C","2024","Interleaved PCB Winding Planar Transformer for Electric Vehicle Charging CLLC Converters","","",""
"4Y7UEVDT","2012","Design of a Highly efficient bidirectional isolated LLC resonant converter","ETH","Vin=450V, Vo=17-56V, fs=140kHz","Power=1.65kW, Eff_pk=0.976, Eff_avg = 0.96"
"XPFQFC7Y","","Vitesco Technologies - High Voltage DC/DC Converter - 4th Generation","Industry Vitesco Technologies","Vin=245-450V, Vo=8-16V","Power=3.6kW, PD=1.5kW/L"
"JD6ZEGEX","2018","PP30_Power supply_Passenger car solution_Products and Solutions_Suzhou Inovance Automotive Co., Ltd.","Industry Inovance Auomotive","Vin=180-480V, Vo=9-16V","Power=3kW, Eff_pk=0.975,  Eff_avg=0.955, Eff_low=0.93"
"TW9UHIWR","2021","High-voltage DC/DC converter generation 3evo","","Vin=240-475V, Vo=10.5-15.5V","Power=3.6kW, Eff_pk=0.95, Eff_avg=0.922"
"PT3PV3TK","","DC DC Converter 1500w | EMP EV MOBILITY","Industry ev mobility","Vin=200-420V, Vo=6-18V","Power=1.5kW, PD=0.251kW/L(case), Eff_pk=0.951, Eff_avg = 0.92"
"GVWAASJU","","400V DC/DC Converter - Delta","Industry Delta","Vin=200-480V, Vo=9-16V","Power=2.5kW, PD=1.785kW/L(case),  Eff_pk=0.953,  Eff_avg=0.921"
"MAKMQZP3","2023","High-voltage DC/DC converter","Industry Eaton","Vin=225-455V, Vo=12-16V","Power=3kW, PD=0.645kW/L(case), Eff_pk=0.941,  Eff_avg=0.927"
"ELZN8M3R","","800V DC/DC Converter - Delta","Industry Delta","Vin=390-935V, Vo=9-16V","Power=3kW, PD=1.55kW/L(case) Eff_pk=0.943,  Eff_avg=0.955, Eff_low=0.92"
"P2FHZBZ2","2024","Power modules meet EV power demands that have increased by 20x","Industry Vicor","Vin=400V, Vo=13.8V, fs=1300kHz","Power=4kW, PD=5.22kW/L, Eff_pk=0.95,  Eff_avg=0.95"
"FE8YUYXZ","","LSM4k0-400-2, 4kW LSM DC-DC - 400V in, 24V Out, Droop CS","Industry AstrodyneTDI","Vin=290-430V, Vo=22-30V","Power=4kW, PD=1.16kW/L, Eff_pk=0.94,  Eff_avg=0.95"
"9JQG5Z24","","Variable Ratio Matrix Transformer based LLC Converter for Two-Stage Low-Voltage DC-DC Converter Efficiency Improvement","Virginia Tech","",""
"LSG4VF7S","","350DNC40-12 - 4000W, 12V, DC-DC HEV Down Converter | Bel Fuse","Industry Bel Fuse Inc","Vin=240-430V, Vo=9-16V","Power=4kW, PD=0.632kW/L, Eff_pk=0.93,  Eff_avg=0.91"
"CEGEGETG","2023","700DNG40-24-8 - 4000W, 24V, DC-DC HEV Down Converter | Bel Fuse","Industry Bel Fuse Inc","Vin=450-900V, Vo=20-30V","Power=4kW, PD=0.776kW/L, Eff_pk=0.95,  Eff_avg=0.91"
"IX2DTSW5","2023","bsc6xx, DC/DC Converter - 125 A, 220 - 450 V, 24 V","Industry BRUSA HyPower","Vin=220-450V, Vo=8-16V","Power=2.8kW, PD=0.889kW/L, Eff_pk=0.944,  Eff_avg=0.92"
